team,count,prob_campeon
Spain,577,0.1154
England,411,0.0822
France,346,0.0692
Argentina,321,0.0642
Germany,299,0.0598
Brazil,285,0.057
Portugal,263,0.0526
Netherlands,225,0.045
Belgium,160,0.032
Japan,142,0.0284
Croatia,132,0.0264
Switzerland,102,0.0204
Mexico,99,0.0198
Bosnia and Herzegovina,84,0.0168
Norway,82,0.0164
Turkiye,79,0.0158
Iran,79,0.0158
Australia,77,0.0154
United States,74,0.0148
Senegal,73,0.0146
New Zealand,73,0.0146
Uruguay,71,0.0142
Morocco,71,0.0142
Czechia,68,0.0136
Canada,67,0.0134
Colombia,66,0.0132
South Korea,64,0.0128
Congo DR,59,0.0118
Suweden,58,0.0116
Austria,54,0.0108
Ecuador,44,0.0088
Egypt,43,0.0086
Uzbekistan,38,0.0076
Scotland,38,0.0076
Algeria,38,0.0076
Ivory Coast,33,0.0066
Tunisia,32,0.0064
Saudi Arabia,30,0.006
Paraguay,27,0.0054
Panama,20,0.004
Iraq,19,0.0038
Haiti,15,0.003
Jordan,14,0.0028
Qatar,14,0.0028
Ghana,11,0.0022
Cape Verde,11,0.0022
South Africa,8,0.0016
Curaçao,4,0.0008
